hero_name,kills,assists,deaths
Rubick,3,5,7
Invoker,15,13,5
Shadow Fiend,10,15,5
Invoker,3,3,2
Invoker,11,16,7
Rubick,0,26,5
Rubick,7,34,9
Invoker,6,12,8
Invoker,4,5,6
Rubick,3,24,2
Invoker,11,18,3
Invoker,5,11,4
Rubick,2,11,9
Shadow Fiend,5,6,10
Invoker,12,7,0
Invoker,6,16,3
Rubick,5,19,7
Rubick,2,4,2
Invoker,10,13,4
Rubick,3,12,7
Invoker,13,20,5
Shadow Fiend,3,9,5
Invoker,11,22,3
Rubick,1,11,5
Shadow Fiend,16,12,4
Invoker,6,13,4
Invoker,10,6,5
Shadow Fiend,16,11,5
Shadow Fiend,4,4,8
Rubick,11,20,6
Shadow Fiend,10,11,0
Invoker,6,18,2
Invoker,1,15,5
Shadow Fiend,11,7,2
Invoker,7,13,7
Rubick,1,10,7
Invoker,15,11,5
Shadow Fiend,18,4,1
Invoker,3,1,5
Invoker,28,18,4
Invoker,7,7,7
Shadow Fiend,7,11,2
Shadow Fiend,11,10,4
Invoker,7,7,11
Invoker,1,0,2
Shadow Fiend,10,15,10
Shadow Fiend,12,18,7
Shadow Fiend,6,4,11
Rubick,2,11,3
Rubick,4,17,3
Invoker,0,4,5
Rubick,4,20,8
Invoker,7,12,8
Rubick,4,20,3
Rubick,1,15,6
Rubick,1,21,6
Rubick,2,17,9
Invoker,3,2,2
Invoker,7,12,3
Invoker,13,8,4
Invoker,7,2,3
Invoker,1,3,7
Invoker,10,7,3
Invoker,18,24,3
Invoker,6,1,9
Invoker,7,5,2
Invoker,9,6,5
Invoker,8,13,2
Invoker,8,9,7
Invoker,10,16,0
Invoker,18,19,3
Invoker,9,11,6
Invoker,4,17,0
Invoker,5,18,5
Invoker,12,19,1
Invoker,7,12,0
Invoker,2,7,3
Invoker,6,18,2
Invoker,9,21,4
Invoker,15,15,5
Invoker,13,14,3
Invoker,15,18,3
Invoker,18,10,3
Invoker,26,27,6
Invoker,9,9,2
Invoker,12,27,1
Shadow Fiend,5,12,5
Invoker,14,8,3
Shadow Fiend,7,13,5
Shadow Fiend,11,8,4
Shadow Fiend,5,12,6
Invoker,15,15,5
Shadow Fiend,6,10,6
Shadow Fiend,7,10,6
Shadow Fiend,6,6,1
Invoker,5,27,4
Shadow Fiend,8,4,3
Shadow Fiend,18,16,3
Invoker,12,14,3
Shadow Fiend,6,9,1
Invoker,11,14,4
Invoker,6,16,5
